County,Returns,AGI,Median Income,Taxable Assessed,Population
Alameda,744071,"$69,738,790,000",50031 ,"$3,774,824,000",1619679
Butte,85171,"$4,598,689,000",32261 ,"$170,592,000",224363
Contra Costa,478539,"$47,962,637,000",50667 ,"$2,741,367,000",1116882
Fresno,352556,"$18,743,128,000",29843 ,"$702,959,000",979357
Kern,303320,"$16,015,315,000",30942 ,"$568,816,000",883327
Los Angeles,4255233,"$310,621,984,000",33369 ,"$16,810,162,000",10185487
Marin,122638,"$21,441,642,000",63110 ,"$1,678,614,000",262105
Monterey,174094,"$10,705,455,000",33557 ,"$473,644,000",436242
Orange,1396551,"$120,957,891,000",40243 ,"$6,949,568,000",3161218
Placer,174047,"$14,528,608,000",50396 ,"$699,175,000",370738
Riverside,898308,"$48,450,394,000",33375 ,"$1,575,689,000",2329256
Sacramento,615436,"$37,346,391,000",38606 ,"$1,661,945,000",1489952
San Bernardino,789782,"$40,275,000,000",32194 ,"$1,224,918,000",2129851
San Diego,1397132,"$105,176,016,000",39515 ,"$5,276,070,000",3275084
San Francisco,447082,"$64,057,822,000",56722 ,"$4,921,288,000",863108
San Joaquin,276939,"$14,999,903,000",34684 ,"$535,223,000",727547
San Mateo,351184,"$58,068,378,000",59192 ,"$4,491,112,000",764379
Santa Barbara,184972,"$14,070,090,000",36985 ,"$791,188,000",444900
Santa Clara,879122,"$122,720,813,000",57281 ,"$8,528,899,000",1915102
Santa Cruz,123916,"$9,612,492,000",38989 ,"$489,696,000",274697
Shasta,72526,"$3,822,787,000",33381 ,"$123,783,000",178777
Solano,185585,"$11,797,866,000",42983 ,"$429,631,000",429267
Sonoma,227731,"$17,207,236,000",42963 ,"$866,855,000",501182
Stanislaus,204933,"$11,200,307,000",33465 ,"$396,907,000",538372
Tulare,158907,"$6,988,551,000",27811 ,"$215,874,000",463291
Ventura,368649,"$28,620,713,000",39799 ,"$1,420,942,000",852013
Yolo,82632,"$5,801,476,000",40571 ,"$249,763,000",212686
