county,2018,2017,2016,2015,2014
Alameda,926358,851016,772416,719476,649571
Butte,320112,299033,277053,251029,236838
Contra Costa,649169,611837,563527,522137,487006
Fresno,268630,252503,232954,218543,198376
Kern,239865,229708,222983,216885,209050
Los Angeles,572350,533139,493738,465314,438410
Marin,1344328,1243293,1153841,1094250,1013250
Monterey,618520,588914,519002,487333,464145
Orange,815319,778291,733112,702903,686508
Placer,480126,451125,424728,392816,377602
Riverside,401593,379079,350716,330365,316819
Sacramento,365454,339191,313490,286941,267597
San Bernardino,289050,268007,243006,224983,204970
San Diego,631283,594966,556593,530075,500035
San Francisco,1573333,1414681,1329746,1245519,1079669
San Joaquin,367849,338700,311395,283125,254290
San Mateo,1580333,1420812,1273583,1227906,1060208
Santa Barbara,653815,708291,695733,701966,677753
Santa Clara,1318250,1168333,1015000,944519,852027
Santa Cruz,882375,834708,784116,718890,667333
Shasta,265287,249260,233991,230803,210665
Solano,442833,408200,383250,345745,314093
Sonoma,667375,627824,576041,526916,481750
Stanislaus,312658,288645,266854,246510,223790
Tulare,232981,219054,205208,185663,174710
Ventura,654005,626937,616726,606155,570530
Yolo,439729,419954,389302,373440,344423
