county,2014,2015,2016,2017,2018
Alameda,230.2,227.77,234.84,252.97,270.31
Butte,221.43,227.85,237.6,247.01,258.32
Contra Costa,171.76,167.5,168.25,176.95,183.66
Fresno,183.97,200.27,210.6,216.38,223.06
Kern,206.23,216.86,224.37,220.61,224.46
Los Angeles,212.32,210.9,210.92,219.27,230.04
Marin,327.62,326.51,329.74,345.23,366.1
Monterey,273.53,268.38,262.85,283.25,286.31
Orange,290.78,284.55,286.81,292.71,302.93
Placer,255.71,250.34,260.8,249.7,255.89
Riverside,218.68,218.71,223.42,231.2,238.88
Sacramento,234.18,240.79,252.4,247.33,256.88
San Bernardino,154.66,163.55,172.85,181.64,189.51
San Diego,243.7,241.12,241.82,249.19,258.01
San Francisco,344.23,370.69,399.44,425.64,467.47
San Joaquin,168.12,179.1,193.12,204.69,218.18
San Mateo,335.09,345.62,339.35,373.42,405.43
Santa Barbara,427.38,432.48,407.08,394.36,351.39
Santa Clara,307.73,309.45,322.9,363.8,399.08
Santa Cruz,330.44,329.75,332.43,332.29,339.89
Shasta,201.55,216.54,215.89,219.81,228.94
Solano,210.59,210.35,216.78,222.2,236.03
Sonoma,279.64,281.84,289.36,298.93,298.44
Stanislaus,212.76,211.93,207.57,195.38,200.85
Tulare,179.08,190.95,212.67,223.3,238.03
Ventura,263.74,259.49,251.65,246.99,249.59
Yolo,275.5,287.31,290.12,296.53,299.2
