county,2018,2017,2016,2015,2014
Alameda,3427,3364,3289,3159,2822
Butte,1239,1211,1166,1102,1070
Contra Costa,3535,3458,3349,3117,2835
Fresno,1204,1167,1106,1091,1078
Kern,1069,1041,994,1000,1014
Los Angeles,2488,2431,2341,2206,2065
Marin,3672,3601,3499,3351,3093
Monterey,2160,2079,1975,1816,1697
Orange,2691,2659,2556,2470,2361
Placer,1876,1807,1629,1569,1477
Riverside,1681,1640,1570,1511,1449
Sacramento,1423,1371,1242,1192,1143
San Bernardino,1525,1476,1406,1376,1325
San Diego,2447,2388,2302,2198,2052
San Francisco,3366,3324,3329,3360,3136
San Joaquin,1686,1655,1612,1581,1513
San Mateo,3898,3805,3753,3553,3164
Santa Barbara,1861,1796,1709,1623,1586
Santa Clara,3303,3211,3143,3052,2769
Santa Cruz,2596,2512,2359,2180,2020
Shasta,1159,1134,1084,1066,1045
Solano,1876,1837,1768,1644,1491
Sonoma,2236,2100,1991,1870,1723
Stanislaus,1557,1477,1286,1163,1052
Tulare,979,981,965,972,976
Ventura,2620,2538,2451,2336,2163
Yolo,1470,1416,1342,1300,1250
