Location,Location_Type,State,County,Bedroom_Size,Price_2014_01,Price_2014_02,Price_2014_03,Price_2014_04,Price_2014_05,Price_2014_06,Price_2014_07,Price_2014_08,Price_2014_09,Price_2014_10,Price_2014_11,Price_2014_12,Price_2015_01,Price_2015_02,Price_2015_03,Price_2015_04,Price_2015_05,Price_2015_06,Price_2015_07,Price_2015_08,Price_2015_09,Price_2015_10,Price_2015_11,Price_2015_12,Price_2016_01,Price_2016_02,Price_2016_03,Price_2016_04,Price_2016_05,Price_2016_06,Price_2016_07,Price_2016_08,Price_2016_09,Price_2016_10,Price_2016_11,Price_2016_12,Price_2017_01,Price_2017_02,Price_2017_03,Price_2017_04,Price_2017_05,Price_2017_06,Price_2017_07,Price_2017_08,Price_2017_09,Price_2017_10,Price_2017_11,Price_2017_12,Price_2018_01,Price_2018_02,Price_2018_03,Price_2018_04,Price_2018_05,Price_2018_06,Price_2018_07,Price_2018_08,Price_2018_09,Price_2018_10,Price_2018_11,Price_2018_12,Price_2019_01
"Adelanto, CA",City,CA,San Bernardino,Studio,660,656,659,658,661,671,681,685,684,682,681,681,684,694,705,720,725,730,728,,,,,,,,,,757,757,758,758,760,766,770,774,778,778,778,780,796,816,829,831,834,833,834,830,829,832,842,840,841,836,844,850,855,850,845,843,850
"Adelanto, CA",City,CA,San Bernardino,4br,1709,1700,1706,1704,1713,1737,1763,1775,1771,1767,1764,1764,1771,1796,1826,1865,1878,1890,1886,,,,,,,,,,1960,1962,1964,1963,1970,1983,1994,2004,2015,2014,2015,2020,2061,2114,2146,2153,2159,2159,2161,2150,2146,2154,2180,2177,2177,2166,2186,2202,2215,2201,2189,2183,2201
"Adelanto, CA",City,CA,San Bernardino,3br,1387,1380,1385,1383,1391,1410,1431,1441,1437,1434,1432,1432,1437,1458,1483,1514,1525,1535,1531,,,,,,,,,,1591,1593,1594,1594,1599,1610,1619,1627,1636,1635,1635,1640,1673,1716,1742,1748,1753,1752,1754,1745,1742,1749,1769,1767,1768,1758,1775,1788,1798,1787,1777,1772,1787
"Adelanto, CA",City,CA,San Bernardino,2br,987,982,986,984,990,1004,1019,1025,1023,1021,1019,1019,1023,1038,1055,1078,1085,1092,1090,,,,,,,,,,1132,1133,1135,1134,1138,1146,1152,1158,1164,1164,1164,1167,1191,1221,1240,1244,1247,1247,1248,1242,1240,1244,1259,1258,1258,1251,1263,1272,1280,1272,1265,1261,1272
"Adelanto, CA",City,CA,San Bernardino,1br,789,785,788,787,791,802,814,820,818,816,815,815,818,830,844,862,868,873,871,,,,,,,,,,905,906,907,907,910,916,921,925,931,930,931,933,952,976,991,994,997,997,998,993,991,995,1007,1005,1006,1001,1010,1017,1023,1017,1011,1008,1017
"Agoura Hills, CA",City,CA,Los Angeles,Studio,1560,1553,1543,1555,1590,1639,1687,1713,1699,1672,1652,1653,1661,1679,1718,1748,1765,1785,1802,1839,1857,1862,1833,1798,1808,1831,1852,1853,1842,1838,1863,1916,1964,1944,1894,1847,1836,1848,1893,1951,1968,1966,1984,2009,2006,1951,1919,1909,1920,1944,1970,1995,1958,1964,1981,2011,2007,2001,1989,1934,1950
"Agoura Hills, CA",City,CA,Los Angeles,4br,3575,3558,3536,3564,3645,3755,3866,3925,3894,3833,3786,3789,3808,3847,3937,4005,4044,4090,4130,4215,4256,4267,4202,4120,4145,4195,4245,4247,4222,4212,4269,4390,4502,4455,4340,4232,4207,4236,4339,4472,4510,4505,4548,4605,4597,4471,4399,4374,4400,4455,4514,4571,4488,4502,4540,4609,4600,4586,4558,4432,4469
"Agoura Hills, CA",City,CA,Los Angeles,3br,3242,3227,3207,3232,3305,3406,3506,3560,3531,3476,3434,3436,3453,3489,3570,3632,3668,3709,3746,3823,3860,3870,3811,3736,3759,3805,3850,3852,3829,3820,3872,3981,4083,4040,3936,3838,3815,3842,3935,4056,4090,4086,4125,4177,4169,4055,3989,3967,3991,4040,4094,4146,4070,4083,4117,4180,4172,4159,4134,4019,4053
"Agoura Hills, CA",City,CA,Los Angeles,2br,2385,2375,2359,2378,2432,2506,2580,2619,2598,2558,2526,2528,2541,2567,2627,2673,2699,2729,2756,2813,2840,2848,2804,2749,2766,2800,2833,2834,2817,2810,2849,2930,3004,2973,2896,2824,2807,2827,2895,2984,3009,3006,3035,3073,3068,2984,2935,2919,2936,2973,3012,3051,2995,3004,3030,3075,3070,3060,3042,2957,2982
"Agoura Hills, CA",City,CA,Los Angeles,1br,1856,1848,1836,1851,1893,1950,2008,2039,2022,1990,1966,1967,1977,1998,2044,2080,2100,2124,2145,2189,2210,2216,2182,2139,2152,2179,2205,2206,2192,2187,2217,2280,2338,2314,2254,2198,2185,2200,2253,2322,2342,2339,2362,2392,2387,2322,2284,2272,2285,2313,2344,2374,2330,2338,2358,2393,2389,2381,2367,2301,2321
